pH_before,TDS_before,Turbidity_before,Temperature_before,Pressure_before,pH_after,TDS_after,Turbidity_after,Temperature_after,Efficiency,TDS_Reduction,Turbidity_Reduction,pH_Change,Water_Status,Membrane_Status
7.16,1385,47.81,16.8,1.95,7.06,732,4.32,16.4,47.15,653,43.49,-0.1,Poor,Replace
6.58,4334,46.35,38.4,2.81,7.23,959,7.95,38.3,77.87,3375,38.4,0.65,Poor,Needs Cleaning
6.97,3199,12.52,29.9,1.35,6.83,2105,3.15,30.8,34.2,1094,9.37,-0.14,Poor,Replace
6.89,3195,1.48,25.8,4.41,7.39,1002,0.19,26.1,68.64,2193,1.29,0.5,Poor,Needs Cleaning
6.57,1942,19.03,33.4,1.21,7.43,1267,2.49,33.4,34.76,675,16.54,0.86,Poor,Replace
7.05,3172,1.29,32.1,4.3,6.82,648,0.35,31.2,79.57,2524,0.94,-0.23,Acceptable,Needs Cleaning
8.77,2849,12.8,20,1.68,7.33,1754,2.13,20.3,38.43,1095,10.67,-1.44,Poor,Replace
8.5,3396,49.15,15.5,3.94,7.3,367,3.61,16.3,89.19,3029,45.54,-1.2,Poor,Healthy
7.48,1263,35.34,30.2,4.9,7.02,431,8.81,29.2,65.87,832,26.53,-0.46,Poor,Needs Cleaning
6.53,2811,17.66,17.8,1.85,7.09,1916,4.86,17.2,31.84,895,12.8,0.56,Poor,Replace
8.37,1218,33.46,31.4,2.3,7.28,64,9.64,31.2,94.75,1154,23.82,-1.09,Poor,Healthy
6.7,1860,26.16,38.7,5.52,7.32,267,2.17,38.8,85.65,1593,23.99,0.62,Acceptable,Healthy
6.75,3967,1.97,27.9,5.11,6.67,493,0.11,26.9,87.57,3474,1.86,-0.08,Excellent,Healthy
7.48,562,36.16,32,3.47,6.57,31,8.05,31.7,94.48,531,28.11,-0.91,Poor,Healthy
7.33,4475,18.09,21.5,5.19,6.52,1464,1.65,21.7,67.28,3011,16.44,-0.81,Poor,Needs Cleaning
7.25,1078,11.32,19.4,5.37,6.87,186,1.41,20.1,82.75,892,9.91,-0.38,Acceptable,Needs Cleaning
6.99,1445,35.51,25.2,3.22,7.01,864,10.09,26.1,40.21,581,25.42,0.02,Poor,Replace
6.57,4300,4,20.7,1.59,7.18,2827,0.69,20.5,34.26,1473,3.31,0.61,Poor,Replace
8.12,4560,26.69,16.7,3.37,6.62,569,6.35,16.8,87.52,3991,20.34,-1.5,Poor,Healthy
7.49,1952,5.18,26.2,5.16,6.84,982,1.53,25.9,49.69,970,3.65,-0.65,Acceptable,Replace
7.29,4292,1.61,34,2.39,7.12,369,0.12,34.4,91.4,3923,1.49,-0.17,Excellent,Healthy
8.34,1558,33.95,36.2,3.94,7.13,822,8.99,36,47.24,736,24.96,-1.21,Poor,Replace
7.7,2930,12.04,31.8,1.04,7.1,1863,0.64,30.9,36.42,1067,11.4,-0.6,Poor,Replace
7.13,4799,49.9,20.2,3.95,7.37,265,6,20.7,94.48,4534,43.9,0.24,Poor,Healthy
7.65,1083,13.61,37.7,3.28,6.59,107,3.08,37,90.12,976,10.53,-1.06,Poor,Healthy
8.26,2409,29.74,21.4,5.63,6.51,1181,3.35,22.1,50.98,1228,26.39,-1.75,Poor,Replace
8.44,4957,24.38,16.4,4.97,6.62,604,6.91,16.5,87.82,4353,17.47,-1.82,Poor,Healthy
6.83,1615,39.72,34.4,4.35,7.38,117,11.23,34.8,92.76,1498,28.49,0.55,Poor,Healthy
7.83,2371,28.57,32.5,4.71,7.44,1546,1.58,31.6,34.8,825,26.99,-0.39,Poor,Replace
7.68,1507,39.1,27.2,1.34,6.7,408,8.07,27.3,72.93,1099,31.03,-0.98,Poor,Needs Cleaning
8.58,3873,1.51,30.7,1.33,6.98,525,0.14,30.7,86.44,3348,1.37,-1.6,Acceptable,Healthy
7.46,1878,46.78,19.9,5.73,7.4,171,11.29,20,90.89,1707,35.49,-0.06,Poor,Healthy
7.94,3028,25.7,31.1,5.35,6.54,298,4.08,30.8,90.16,2730,21.62,-1.4,Poor,Healthy
6.79,4818,47.32,35.1,3.53,7.46,1306,9.01,35.4,72.89,3512,38.31,0.67,Poor,Needs Cleaning
7.35,1130,33.49,25.7,1.98,7.44,104,8.38,26.2,90.8,1026,25.11,0.09,Poor,Healthy
7.16,4766,23.54,28.4,5.09,7.1,549,3.86,27.9,88.48,4217,19.68,-0.06,Poor,Healthy
6.5,1718,16.65,17.5,3.39,6.92,102,2.74,17.4,94.06,1616,13.91,0.42,Acceptable,Healthy
8.17,2642,48.86,30.8,4.3,6.84,275,3.48,30.6,89.59,2367,45.38,-1.33,Poor,Healthy
7.49,4340,35.37,37.7,2.05,7.36,360,8.61,37.1,91.71,3980,26.76,-0.13,Poor,Healthy
7.46,1391,46.4,17.3,5.45,6.87,261,8.09,18,81.24,1130,38.31,-0.59,Poor,Needs Cleaning
6.81,1404,26.12,39.7,3.28,7.12,235,5.2,38.9,83.26,1169,20.92,0.31,Poor,Needs Cleaning
7.44,4924,36,34.1,1.39,7.32,1030,9.82,34.3,79.08,3894,26.18,-0.12,Poor,Needs Cleaning
7.81,3716,33.04,17.1,5.68,7.02,821,6.66,17.2,77.91,2895,26.38,-0.79,Poor,Needs Cleaning
8.02,3776,45.78,34.9,2.85,6.65,2051,9.32,35.6,45.68,1725,36.46,-1.37,Poor,Replace
8.13,4065,7.77,35.8,1.81,6.82,325,0.81,36.6,92,3740,6.96,-1.31,Excellent,Healthy
7.01,2095,46.66,31.5,1.64,6.77,495,2.65,31.5,76.37,1600,44.01,-0.24,Acceptable,Needs Cleaning
7.69,4723,2.72,38,5.91,6.95,1901,0.47,37.5,59.75,2822,2.25,-0.74,Poor,Replace
7.93,2994,43.39,39,4.33,6.66,553,12.73,38.9,81.53,2441,30.66,-1.27,Poor,Needs Cleaning
6.57,3524,34.49,21.2,5.67,6.78,687,4.9,20.5,80.51,2837,29.59,0.21,Poor,Needs Cleaning
8.35,541,6.74,21,2.07,7.18,363,0.86,21.5,32.9,178,5.88,-1.17,Excellent,Replace
7.53,609,39.06,23.1,3.7,7.21,397,1.97,23.5,34.81,212,37.09,-0.32,Acceptable,Replace
7.27,2287,20.71,19.9,5.31,6.78,188,5.07,19.7,91.78,2099,15.64,-0.49,Poor,Healthy
8.23,3559,7.5,21.6,4.39,6.63,461,1.43,21.7,87.05,3098,6.07,-1.6,Acceptable,Healthy
7.7,2907,9.83,30.2,1.64,6.99,589,1.67,30.5,79.74,2318,8.16,-0.71,Acceptable,Needs Cleaning
8.5,3222,45.58,36.6,3.61,6.62,209,5.14,37.2,93.51,3013,40.44,-1.88,Poor,Healthy
8.77,1485,44.13,22.2,2.65,6.6,283,8.65,21.6,80.94,1202,35.48,-2.17,Poor,Needs Cleaning
8.55,2213,7.32,35.2,1.59,7.24,230,0.41,35.9,89.61,1983,6.91,-1.31,Excellent,Healthy
8.13,1858,4.33,23.2,2.78,7.15,1104,0.23,23.7,40.58,754,4.1,-0.98,Poor,Replace
6.6,2014,37.07,39.3,1.32,7.13,1006,2.17,39.9,50.05,1008,34.9,0.53,Poor,Replace
8.79,3395,46.1,16.4,2.28,7.42,1050,9.73,17.2,69.07,2345,36.37,-1.37,Poor,Needs Cleaning
8.26,734,27.22,19.5,5.96,6.69,190,2.97,19.2,74.11,544,24.25,-1.57,Acceptable,Needs Cleaning
8.68,3021,33.26,32,2.11,6.63,449,9.13,31.5,85.14,2572,24.13,-2.05,Poor,Healthy
6.7,3329,12.38,15.7,1.93,6.6,1093,3.53,16.2,67.17,2236,8.85,-0.1,Poor,Needs Cleaning
8.59,926,15.89,21.5,4.09,7.04,58,2.56,22.5,93.74,868,13.33,-1.55,Acceptable,Healthy
8.25,2299,43.05,28.8,1.27,6.93,1045,11.3,28.5,54.55,1254,31.75,-1.32,Poor,Replace
7.07,1935,16.06,38.9,3.22,6.76,188,1.18,39.2,90.28,1747,14.88,-0.31,Acceptable,Healthy
8.53,1250,14.39,23.6,5.82,6.62,672,3.65,23.4,46.24,578,10.74,-1.91,Poor,Replace
7.87,4360,25,34.6,2.28,6.81,1402,5.7,33.6,67.84,2958,19.3,-1.06,Poor,Needs Cleaning
8.48,3047,28.52,28.8,5.48,7.04,697,7.98,28.8,77.13,2350,20.54,-1.44,Poor,Needs Cleaning
8.45,4041,17.54,29.2,1.68,6.99,936,4.53,30,76.84,3105,13.01,-1.46,Poor,Needs Cleaning
8.1,3895,49.53,23.1,2.88,7.21,2415,3.63,22.8,38,1480,45.9,-0.89,Poor,Replace
6.78,4097,2.51,26.9,5.12,7.29,2306,0.7,27.5,43.71,1791,1.81,0.51,Poor,Replace
7.41,4100,37.7,37.2,4.71,6.68,1589,9.14,37.1,61.24,2511,28.56,-0.73,Poor,Needs Cleaning
8.35,2888,34.98,37.4,4.66,7.29,1425,5.85,37.1,50.66,1463,29.13,-1.06,Poor,Replace
6.86,4166,1.92,27.7,4.3,6.89,618,0.12,27.6,85.17,3548,1.8,0.03,Acceptable,Healthy
6.51,1126,48.77,38.4,1.21,6.62,266,12.52,39,76.38,860,36.25,0.11,Poor,Needs Cleaning
8.77,2158,7.67,36.5,4.66,6.8,544,2.08,36.9,74.79,1614,5.59,-1.97,Acceptable,Needs Cleaning
7.49,4520,3.5,29.2,3.49,6.81,2502,0.91,29.6,44.65,2018,2.59,-0.68,Poor,Replace
8.19,4674,2.92,21.9,1.41,7.45,842,0.77,22.1,81.99,3832,2.15,-0.74,Acceptable,Needs Cleaning
7.05,4948,6.78,21.4,3.13,6.81,3454,0.8,22.3,30.19,1494,5.98,-0.24,Poor,Replace
7.28,2082,40.37,23.3,3.72,6.95,297,5.67,23.1,85.73,1785,34.7,-0.33,Poor,Healthy
7.95,4051,49.46,20.2,4.93,7.29,942,7.39,19.9,76.75,3109,42.07,-0.66,Poor,Needs Cleaning
8.36,1343,37.21,34.9,1.11,6.77,177,7.49,34.4,86.82,1166,29.72,-1.59,Poor,Healthy
8.75,4286,27.87,31.4,1.05,6.69,2566,1.75,32,40.13,1720,26.12,-2.06,Poor,Replace
8.54,937,3.07,21.8,1.89,7.07,344,0.83,22.6,63.29,593,2.24,-1.47,Excellent,Needs Cleaning
8.62,689,12.2,23.8,1.26,7.08,231,2.17,23.6,66.47,458,10.03,-1.54,Acceptable,Needs Cleaning
6.57,885,27.02,23.3,1.82,7.12,190,6.63,22.3,78.53,695,20.39,0.55,Poor,Needs Cleaning
8.68,4653,30.8,30.8,2.85,6.8,2575,6.77,30.8,44.66,2078,24.03,-1.88,Poor,Replace
7.65,4166,48.82,27.2,2.7,7.46,234,5.66,27.7,94.38,3932,43.16,-0.19,Poor,Healthy
8.63,1680,38.36,21.4,1.58,7.43,203,3.89,20.9,87.92,1477,34.47,-1.2,Poor,Healthy
7.31,2599,37.74,35.5,3.78,6.84,248,4.65,36.1,90.46,2351,33.09,-0.47,Poor,Healthy
8.1,1878,6.27,37.9,1.29,7.03,101,1.87,37.1,94.62,1777,4.4,-1.07,Acceptable,Healthy
8.38,3774,17.87,15.7,4.6,7.42,774,1.7,16.5,79.49,3000,16.17,-0.96,Acceptable,Needs Cleaning
7.25,1330,11.43,34.2,3.62,6.52,271,2.8,33.7,79.62,1059,8.63,-0.73,Acceptable,Needs Cleaning
7.81,4894,39.16,17.3,1.27,6.56,507,7.64,17.1,89.64,4387,31.52,-1.25,Poor,Healthy
7.34,567,24.43,33.2,1.43,6.79,45,6.27,32.5,92.06,522,18.16,-0.55,Poor,Healthy
8.29,1626,2.52,25.2,1.92,6.96,199,0.17,24.7,87.76,1427,2.35,-1.33,Excellent,Healthy
7.99,910,38.3,15.2,5,6.99,331,11.34,15.7,63.63,579,26.96,-1,Poor,Needs Cleaning
6.77,4439,24.09,26.7,1.69,6.76,230,4.5,27.6,94.82,4209,19.59,-0.01,Poor,Healthy
6.93,1321,36.8,18.8,5.43,6.98,226,3.91,18.1,82.89,1095,32.89,0.05,Poor,Needs Cleaning
6.86,4979,37.12,37.3,3.9,6.79,732,2.77,37.6,85.3,4247,34.35,-0.07,Acceptable,Healthy
7.36,3270,22.08,32.2,4.3,6.9,2256,1.71,32.9,31.01,1014,20.37,-0.46,Poor,Replace
6.88,607,12.43,19.9,1.83,6.8,328,3.72,19.4,45.96,279,8.71,-0.08,Poor,Replace
7.84,4360,37.62,28,3.9,6.79,943,1.98,27,78.37,3417,35.64,-1.05,Acceptable,Needs Cleaning
7.85,1129,35.09,34.4,1.39,7.23,285,5.58,34.5,74.76,844,29.51,-0.62,Poor,Needs Cleaning
8.29,847,26.29,21.6,2.57,7.17,211,4.76,22,75.09,636,21.53,-1.12,Poor,Needs Cleaning
7.63,4009,6.99,32.7,1.95,7.05,519,0.38,32.5,87.05,3490,6.61,-0.58,Acceptable,Healthy
7.87,2291,7.04,19.5,4.14,6.55,1183,1.38,20.2,48.36,1108,5.66,-1.32,Poor,Replace
7.65,1166,16.79,23,3.34,6.9,407,1.13,22.5,65.09,759,15.66,-0.75,Acceptable,Needs Cleaning
7.95,1860,32.06,18.5,3.71,6.7,1005,8.68,18.6,45.97,855,23.38,-1.25,Poor,Replace
7.24,1907,17.27,25.4,5.7,7.1,144,1.34,25,92.45,1763,15.93,-0.14,Acceptable,Healthy
8.41,647,14.52,17.1,1.83,7.22,427,3.53,16.9,34,220,10.99,-1.19,Poor,Replace
6.82,2419,5.26,18.4,1.48,6.88,1159,0.66,18.5,52.09,1260,4.6,0.06,Poor,Replace
8.34,4925,9.79,18.2,1.54,6.78,1824,2.62,17.9,62.96,3101,7.17,-1.56,Poor,Needs Cleaning
8.67,3945,45.07,16.7,4.24,7.04,552,13.34,16.4,86.01,3393,31.73,-1.63,Poor,Healthy
6.68,1341,41.97,25,3.57,7.48,170,3.25,24,87.32,1171,38.72,0.8,Poor,Healthy
8.55,4936,4.02,16,3.06,6.82,923,1.03,15.2,81.3,4013,2.99,-1.73,Acceptable,Needs Cleaning
7.83,3487,21.44,24.6,4.65,6.65,1708,6.35,23.7,51.02,1779,15.09,-1.18,Poor,Replace
7.68,3427,43.73,15.9,5.21,7.29,626,11.81,15.6,81.73,2801,31.92,-0.39,Poor,Needs Cleaning
8.06,3523,2,16.6,2.31,6.98,260,0.16,16.1,92.62,3263,1.84,-1.08,Excellent,Healthy
6.62,3792,37.5,28.3,2.44,7.32,1785,8.6,28.4,52.93,2007,28.9,0.7,Poor,Replace
8.09,654,12.93,15,5.92,7.43,273,2.86,15.4,58.26,381,10.07,-0.66,Acceptable,Replace
7.45,2182,33.62,35.2,1.54,7.3,326,8.44,34.6,85.06,1856,25.18,-0.15,Poor,Healthy
8.27,896,8.25,29.3,5.9,7.03,568,1.02,29.1,36.61,328,7.23,-1.24,Acceptable,Replace
8.61,1024,37.7,39.5,3.88,7.23,446,6.17,39.4,56.45,578,31.53,-1.38,Poor,Replace
7.18,3461,17.12,16.5,4.17,6.88,1552,1.99,16.5,55.16,1909,15.13,-0.3,Poor,Replace
8.79,996,20.88,22.3,1.13,7.33,428,4.03,22,57.03,568,16.85,-1.46,Poor,Replace
7.11,4989,42.4,16.6,3.44,6.58,2648,2.34,15.9,46.92,2341,40.06,-0.53,Poor,Replace
8.69,3296,14.17,22.1,1.86,7.29,2017,1.65,22.4,38.8,1279,12.52,-1.4,Poor,Replace
6.87,770,2.52,35.1,3.28,7.34,130,0.63,35.1,83.12,640,1.89,0.47,Excellent,Needs Cleaning
6.68,4518,24.92,25.4,1.97,6.51,541,6.36,26.1,88.03,3977,18.56,-0.17,Poor,Healthy
8.32,515,44.11,22.9,5.95,6.67,94,12.69,23.5,81.75,421,31.42,-1.65,Poor,Needs Cleaning
7.85,4962,42.53,19.1,3.78,7.27,484,5.82,18.9,90.25,4478,36.71,-0.58,Poor,Healthy
8.43,3837,5.11,23.8,2.54,6.69,1721,0.38,22.9,55.15,2116,4.73,-1.74,Poor,Replace
7.16,3439,28.47,16.5,3.39,7.09,488,5.54,17.3,85.81,2951,22.93,-0.07,Poor,Healthy
7.32,570,31.68,22.2,2.98,7.46,139,1.84,21.5,75.61,431,29.84,0.14,Acceptable,Needs Cleaning
8.04,3773,10.56,26.9,3.63,6.84,2385,2.71,27.6,36.79,1388,7.85,-1.2,Poor,Replace
7,3646,6.03,22.8,1.6,6.87,240,1.01,21.9,93.42,3406,5.02,-0.13,Acceptable,Healthy
7.87,4947,33.54,20.9,4.21,6.57,1483,4.19,21.6,70.02,3464,29.35,-1.3,Poor,Needs Cleaning
6.75,1098,21.5,26.7,2.99,6.59,347,1.47,26.3,68.4,751,20.03,-0.16,Acceptable,Needs Cleaning
8.09,3157,19.38,38.3,1.73,6.62,241,2.33,38.7,92.37,2916,17.05,-1.47,Acceptable,Healthy
7.34,4492,25.84,26.3,2.79,7.24,591,4.82,26.9,86.84,3901,21.02,-0.1,Poor,Healthy
6.6,3720,34.82,16.4,3.21,6.58,2029,3.85,16.3,45.46,1691,30.97,-0.02,Poor,Replace
7.11,4037,24.48,26.5,2.51,7.47,747,5.38,26.3,81.5,3290,19.1,0.36,Poor,Needs Cleaning
8.64,848,48.05,35.9,1.17,6.62,291,9.05,36.1,65.68,557,39,-2.02,Poor,Needs Cleaning
6.64,2155,5.36,30.1,1.36,6.82,439,1.08,30.5,79.63,1716,4.28,0.18,Acceptable,Needs Cleaning
8.68,1717,4.78,26,4.05,6.94,520,1.25,25.7,69.71,1197,3.53,-1.74,Acceptable,Needs Cleaning
7.88,3126,10.01,27.6,3.91,6.75,430,1.54,27.6,86.24,2696,8.47,-1.13,Acceptable,Healthy
6.96,3154,9.05,15.2,4.46,6.94,1288,2.4,15.2,59.16,1866,6.65,-0.02,Poor,Replace
7.89,3599,5.35,39.8,4.03,7.09,898,1.56,40.5,75.05,2701,3.79,-0.8,Acceptable,Needs Cleaning
7.23,3467,32.66,21.7,3.68,6.57,856,6.84,21,75.31,2611,25.82,-0.66,Poor,Needs Cleaning
6.69,1894,40.43,38.2,3.35,6.78,774,11.05,38.6,59.13,1120,29.38,0.09,Poor,Replace
8.26,4495,34.99,28,3.43,7.5,2082,5.37,28.5,53.68,2413,29.62,-0.76,Poor,Replace
8.78,4183,38.42,28.2,3.8,6.75,1387,10.54,28.4,66.84,2796,27.88,-2.03,Poor,Needs Cleaning
7.89,942,41.87,32.2,1.14,6.74,217,4.88,33,76.96,725,36.99,-1.15,Poor,Needs Cleaning
6.89,2062,47.18,33,3.61,6.61,230,7.61,33,88.85,1832,39.57,-0.28,Poor,Healthy
7.27,4250,30.36,32.6,5.24,6.56,265,3.92,33.2,93.76,3985,26.44,-0.71,Poor,Healthy
6.95,1450,26.27,27.9,1.73,6.6,397,3.79,28.2,72.62,1053,22.48,-0.35,Poor,Needs Cleaning
7.07,3021,21.33,15.9,4.51,6.76,735,1.36,15.9,75.67,2286,19.97,-0.31,Acceptable,Needs Cleaning
8.51,4576,8.8,37.1,4.33,7.04,395,2,37.8,91.37,4181,6.8,-1.47,Acceptable,Healthy
6.7,1783,29.15,20.3,1.55,7.14,229,5.57,20.7,87.16,1554,23.58,0.44,Poor,Healthy
6.78,1685,13.81,30.3,1.05,7.47,856,2.26,30.5,49.2,829,11.55,0.69,Acceptable,Replace
7.89,2847,43.43,36.8,1.31,6.62,950,3.36,35.8,66.63,1897,40.07,-1.27,Poor,Needs Cleaning
7.18,2472,25.28,35.5,1.04,7.02,767,7.23,36.1,68.97,1705,18.05,-0.16,Poor,Needs Cleaning
8.28,3096,21.56,28.3,2.54,7.1,401,4.66,29.2,87.05,2695,16.9,-1.18,Poor,Healthy
6.7,1927,37.45,35.3,2.99,6.51,904,3.58,35.9,53.09,1023,33.87,-0.19,Poor,Replace
6.89,3410,14.93,15.5,1.1,6.55,421,2.94,15.7,87.65,2989,11.99,-0.34,Acceptable,Healthy
7.77,4634,48.27,15,4.53,7.25,1171,6.8,16,74.73,3463,41.47,-0.52,Poor,Needs Cleaning
8.37,1093,28.8,19.8,3.21,7.25,161,8.59,19.3,85.27,932,20.21,-1.12,Poor,Healthy
8.06,3357,32.4,16.2,5.13,7.35,280,7.05,16,91.66,3077,25.35,-0.71,Poor,Healthy
6.99,4605,31.2,23,2.51,7.14,1544,8.1,23.5,66.47,3061,23.1,0.15,Poor,Needs Cleaning
7.32,2925,21.97,25.5,3.78,7.31,236,3.91,25.7,91.93,2689,18.06,-0.01,Poor,Healthy
7.27,2099,25.93,36.9,2.74,6.59,795,7.26,37.3,62.12,1304,18.67,-0.68,Poor,Needs Cleaning
7.38,1583,2.91,32,3.01,7.42,900,0.73,31.3,43.15,683,2.18,0.04,Acceptable,Replace
6.53,2515,49.93,33.4,3.25,7.01,274,9.71,32.9,89.11,2241,40.22,0.48,Poor,Healthy
8.53,775,8.61,24.8,5.4,6.72,539,2.34,24.9,30.45,236,6.27,-1.81,Acceptable,Replace
8.59,1035,10.77,38.5,2.63,6.78,723,0.7,39.4,30.14,312,10.07,-1.81,Acceptable,Replace
8.44,1676,23.23,20.3,2.25,6.88,170,1.2,20.4,89.86,1506,22.03,-1.56,Acceptable,Healthy
7.71,1432,33.69,34.2,4.98,7.09,238,9.69,34.8,83.38,1194,24,-0.62,Poor,Needs Cleaning
7.97,4401,41.05,37.7,2.23,6.83,1860,8.13,38.5,57.74,2541,32.92,-1.14,Poor,Replace
7.65,1310,27.29,28.3,4.89,6.73,478,2.92,28.6,63.51,832,24.37,-0.92,Acceptable,Needs Cleaning
8.3,3622,23.2,39.8,3.77,7.37,565,6.41,40.2,84.4,3057,16.79,-0.93,Poor,Needs Cleaning
8.67,3033,39.42,39.7,5.42,6.6,1071,10.24,39.5,64.69,1962,29.18,-2.07,Poor,Needs Cleaning
6.63,3716,1.96,37.7,1.75,6.89,2335,0.3,36.9,37.16,1381,1.66,0.26,Poor,Replace
6.79,3964,45.75,28.4,2.01,6.91,706,5.5,29.1,82.19,3258,40.25,0.12,Poor,Needs Cleaning
6.8,3609,31.87,29.9,5.31,7.23,1241,5.38,29.5,65.61,2368,26.49,0.43,Poor,Needs Cleaning
6.99,732,15.18,37.4,4.97,7.18,62,0.87,38,91.53,670,14.31,0.19,Excellent,Healthy
8.15,724,17.4,29.3,1.91,7.11,47,0.99,29.1,93.51,677,16.41,-1.04,Excellent,Healthy
6.85,1110,37.36,25.2,3.63,6.78,155,3.47,24.8,86.04,955,33.89,-0.07,Poor,Healthy
7.56,4053,32.29,23.3,1.81,6.72,1457,8.43,24.3,64.05,2596,23.86,-0.84,Poor,Needs Cleaning
7.04,3325,14.5,19.1,3.71,6.97,1148,1.87,18.4,65.47,2177,12.63,-0.07,Poor,Needs Cleaning
8.57,2205,47.27,32.7,4.17,6.91,113,4.37,33.6,94.88,2092,42.9,-1.66,Poor,Healthy
8.77,4420,29.1,19.1,4.9,7.35,481,2.88,19.8,89.12,3939,26.22,-1.42,Acceptable,Healthy
8.79,3587,32.59,18.3,4.55,6.76,393,7.49,18.5,89.04,3194,25.1,-2.03,Poor,Healthy
8.47,3143,46.55,22.2,3.93,7.49,1010,4.74,21.3,67.87,2133,41.81,-0.98,Poor,Needs Cleaning
8.17,4221,5.48,16.4,1.24,6.66,455,1.3,16.3,89.22,3766,4.18,-1.51,Acceptable,Healthy
7.8,2034,20.46,31.9,4.43,6.73,722,1.03,31.6,64.5,1312,19.43,-1.07,Acceptable,Needs Cleaning
7.11,3655,37.39,20.8,4.1,7.06,533,8.58,21.5,85.42,3122,28.81,-0.05,Poor,Healthy
8.49,3215,47.56,26.5,3.06,6.94,1056,7.96,25.5,67.15,2159,39.6,-1.55,Poor,Needs Cleaning
6.54,1725,24.82,38.4,5.14,7.21,108,2.62,37.6,93.74,1617,22.2,0.67,Acceptable,Healthy
7.68,3558,15.84,23,2.31,7.05,529,3.03,23.6,85.13,3029,12.81,-0.63,Poor,Healthy
8.21,2418,20.73,23.4,5.63,6.84,319,3.02,22.6,86.81,2099,17.71,-1.37,Poor,Healthy
7.84,1531,23.54,39,3.73,6.65,348,6.96,38.2,77.27,1183,16.58,-1.19,Poor,Needs Cleaning
8.41,4937,8.3,24.6,4.03,7.28,507,0.78,24.2,89.73,4430,7.52,-1.13,Acceptable,Healthy
6.66,1670,45.21,34,1.5,6.94,691,5.7,34,58.62,979,39.51,0.28,Poor,Replace
7.53,4459,35.09,39.5,3.96,7.38,421,6.13,39.8,90.56,4038,28.96,-0.15,Poor,Healthy
8.18,2499,35.12,36.7,4.63,7.4,1281,6.96,37.5,48.74,1218,28.16,-0.78,Poor,Replace
8.74,3974,28.28,23.7,1.87,6.53,703,7.78,24,82.31,3271,20.5,-2.21,Poor,Needs Cleaning
7.26,2916,10.72,36.3,5.86,6.67,421,2.46,35.7,85.56,2495,8.26,-0.59,Acceptable,Healthy
7.56,3177,6.17,38.7,1.71,7.18,2011,1.38,39.3,36.7,1166,4.79,-0.38,Poor,Replace
7.51,3135,5.88,21.1,2.57,6.62,229,1.56,20.8,92.7,2906,4.32,-0.89,Acceptable,Healthy
6.86,4098,35.94,25.4,2.82,6.67,1232,6.07,24.9,69.94,2866,29.87,-0.19,Poor,Needs Cleaning
7.77,4163,25.16,37.8,3,7.25,385,2.6,38.5,90.75,3778,22.56,-0.52,Acceptable,Healthy
6.71,1354,24.76,22.6,5.33,6.82,580,6.35,22.2,57.16,774,18.41,0.11,Poor,Replace
8.01,1615,41.9,17.3,4.49,7.34,436,12.35,16.4,73,1179,29.55,-0.67,Poor,Needs Cleaning
6.52,2596,42.21,33.9,3.82,6.73,588,2.49,33.6,77.35,2008,39.72,0.21,Acceptable,Needs Cleaning
6.71,2549,32.45,23,1.68,6.9,1130,5.71,23.5,55.67,1419,26.74,0.19,Poor,Replace
7.43,2642,7.6,33.2,3.61,7.33,742,0.97,32.3,71.92,1900,6.63,-0.1,Acceptable,Needs Cleaning
7.84,3651,12.04,22,3.56,7.03,324,0.95,21.7,91.13,3327,11.09,-0.81,Excellent,Healthy
8.43,3750,3.21,32.6,5.47,7.18,808,0.36,33.5,78.45,2942,2.85,-1.25,Acceptable,Needs Cleaning
7.61,3030,28.64,37.2,4.97,7.08,858,3.59,36.2,71.68,2172,25.05,-0.53,Poor,Needs Cleaning
8.56,4817,38.01,32.7,4.33,6.69,307,6,33.4,93.63,4510,32.01,-1.87,Poor,Healthy
8.58,538,35.62,19.1,2.61,6.56,34,2.57,18.2,93.68,504,33.05,-2.02,Acceptable,Healthy
7.87,4188,3.2,22.1,2.99,6.6,598,0.83,21.3,85.72,3590,2.37,-1.27,Acceptable,Healthy
7.57,2459,43.66,21.1,3.47,7.49,153,4.21,20.8,93.78,2306,39.45,-0.08,Poor,Healthy
8.18,2948,18,24.7,4.68,7.31,1732,3.53,25,41.25,1216,14.47,-0.87,Poor,Replace
7.38,1455,41.31,15.5,2.82,6.61,602,9.67,15.2,58.63,853,31.64,-0.77,Poor,Replace
7.38,2717,3.52,20.3,4.69,7.26,195,0.98,20.7,92.82,2522,2.54,-0.12,Excellent,Healthy
8.57,4193,43.51,34,2.65,6.85,2010,7.38,34.4,52.06,2183,36.13,-1.72,Poor,Replace
7.47,2369,41.52,20.1,3.18,6.92,430,11.24,20.1,81.85,1939,30.28,-0.55,Poor,Needs Cleaning
6.86,925,20.43,28,4.22,6.61,60,6.01,28,93.51,865,14.42,-0.25,Poor,Healthy
8.37,4772,42.87,24.4,5.81,6.64,2620,10.27,23.8,45.1,2152,32.6,-1.73,Poor,Replace
8.44,3904,4.59,19.2,4.62,7.32,1185,1.38,19.1,69.65,2719,3.21,-1.12,Poor,Needs Cleaning
6.87,4984,43.86,22.4,5.45,7.14,1211,4.94,22.5,75.7,3773,38.92,0.27,Poor,Needs Cleaning
8.04,2904,11.4,27.9,2.83,7.26,1869,3.32,27.4,35.64,1035,8.08,-0.78,Poor,Replace
